日期,BlackRock（贝莱德）,Grayscale（灰度）,Fidelity（富达）,ARK 21Shares（木头姐）,Bitwise,Purpose Bitcoin ETF,ETC Group Physical Bitcoin,WisdomTree（全球）,VanEck,CI Galaxy Bitcoin ETF,Valkyrie,Invesco Galaxy,Franklin Templeton（富兰克林邓普顿）,3iQ Bitcoin ETF,Evolve Bitcoin ETF,華夏比特幣ETF,WisdomTree（美国）,博時HashKey比特幣ETF,嘉实比特币现货ETF,Hashdex Bitcoin ETF,总计,日变动率
2024-1-10,228,"619,162",440,210,57,0,0,561,"1,625",0,10,0,58,0,0,0,0,0,0,0,"622,351",0.00%
2024-1-11,"2,621","617,079","5,268","1,625","5,299",0,0,561,"1,640",0,642,110,"1,131",0,0,0,0,0,0,0,"635,976",2.19%
2024-1-12,"11,439","605,891","9,750","2,535","5,540",0,0,561,"1,867",0,"1,102","1,151","1,131",0,0,0,0,0,0,0,"640,967",0.78%
2024-1-16,"16,362","592,098","12,112","5,365","6,712",0,0,561,"1,867",0,"1,457","1,872","1,131",0,0,0,0,0,0,0,"639,537",-0.22%
2024-1-17,"25,067","581,274","20,507","6,545","8,309",0,0,561,"2,037",0,"1,486","3,220","1,160",0,0,0,0,0,0,0,"650,166",1.66%
2024-1-18,"28,622","566,973","24,857","7,565","8,800",0,0,561,"2,150",0,"1,712","4,619","1,160",0,0,0,0,0,0,0,"647,019",-0.48%
2024-1-19,"33,431","566,973","24,857","7,565","10,152",0,0,561,"2,207",0,"1,961","4,619","1,160",0,0,0,0,0,0,0,"653,486",1.00%
2024-1-22,"39,925","552,681","30,170","9,060","11,859",0,0,561,"2,546",0,"2,201","6,174","1,276",0,0,0,0,0,0,0,"656,453",0.45%
2024-1-23,"39,925","536,695","34,127","10,680","11,859",0,0,561,"2,546",0,"2,201","6,174","1,276",0,0,0,0,0,0,0,"646,044",-1.59%
2024-1-24,"44,005","523,516","38,149","12,255","11,859",0,0,561,"2,716",0,"2,201","6,336","1,305",0,0,0,0,0,0,0,"642,903",-0.49%
2024-1-25,"45,668","512,645","41,319","12,880","12,840",0,0,561,"2,772",0,"2,593","6,336","1,334",0,0,0,0,0,0,0,"638,948",-0.62%
2024-1-26,"49,952","502,713","43,855","13,285","13,576",0,0,561,"2,885",0,"2,635","6,840","1,363",0,0,0,0,0,0,0,"637,665",-0.20%
2024-1-29,"56,629","496,574","51,070","14,390","14,040",0,0,561,"2,942",0,"2,635","6,840","1,363",0,0,0,0,0,0,0,"647,044",1.47%
2024-1-30,"63,488","492,112","53,802","14,790","14,541",0,0,561,"2,942",0,"2,635","7,080","1,421",0,0,0,0,0,0,0,"653,372",0.98%
2024-1-31,"66,200","487,026","59,224","15,175","14,956",0,0,561,"2,942",0,"2,649","7,080","1,421",0,0,0,0,0,0,0,"657,234",0.59%
2024-2-1,"70,006","482,592","60,055","15,520","15,054",0,0,561,"2,998",0,"2,649","7,090","1,421",0,0,0,0,0,0,0,"657,946",0.11%
2024-2-2,"72,467","478,337","61,891","15,890","15,321",0,0,561,"2,998",0,"2,649","7,090","1,479",0,0,0,0,0,0,0,"658,683",0.11%
2024-2-5,"75,703","474,910","62,788","16,415","15,321",0,0,561,"3,055",0,"2,649","7,090","1,479",0,0,0,0,0,0,0,"659,971",0.20%
2024-2-6,"76,751","472,345","63,662","16,415","15,583",0,0,561,"3,055",0,"2,649","7,104","1,479",0,0,0,0,0,0,0,"659,604",-0.06%
2024-2-7,"78,027","470,637","66,613","16,615","16,068",0,0,561,"3,112",0,"2,678","7,104","1,595",0,0,0,0,0,0,0,"663,010",0.52%
2024-2-8,"82,516","468,787","69,434","16,690","17,398",0,0,561,"3,112",0,"2,720","7,454","1,595",0,0,0,0,0,0,0,"670,267",1.09%
2024-2-9,"87,782","466,535","73,391","18,590","18,009",0,0,561,"3,338",0,"2,749","7,578","1,624",0,0,0,0,0,0,0,"680,157",1.48%
2024-2-12,"95,277","465,388","76,430","21,455","18,669",0,0,561,"3,394",0,"2,770","7,242","1,624",0,0,0,0,0,0,0,"692,810",1.86%
2024-2-13,"105,280","463,475","79,753","22,255","18,887",0,0,561,"3,564",0,"2,770","6,784","1,624",0,0,0,0,0,0,0,"704,953",1.75%
